respondent_id,education_level,study_hours_per_day,preferred_learning_method,main_learning_challenge,motivation_level,online_learning_opinion,device_used_for_study
7036,Undergraduate,5,Reading notes,Time management difficulty,Medium,Online platforms provide access to diverse resources,Laptop
7037,Postgraduate,1,Video lectures,Time management difficulty,Medium,Online platforms provide access to diverse resources,Laptop
7038,Graduate,4,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
7039,Undergraduate,2,Recorded tutorials,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
7040,Postgraduate,1,Reading notes,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
7041,Postgraduate,5,Video lectures,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
7042,Undergraduate,4,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
7043,Postgraduate,6,Practice exercises,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
7044,Undergraduate,6,Interactive discussion,Low motivation,Low,Online learning is effective for theory-based subjects,Laptop
7045,Graduate,4,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
7046,Postgraduate,1,Video lectures,Academic workload pressure,Medium,Online learning requires strong self-discipline,Mobile
7047,Undergraduate,6,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
7048,Postgraduate,5,Interactive discussion,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Tablet
7049,Graduate,1,Recorded tutorials,Time management difficulty,Medium,Online learning is flexible and convenient,Laptop
7050,Postgraduate,2,Reading notes,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
7051,Graduate,3,Reading notes,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Mobile
7052,Undergraduate,3,Recorded tutorials,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop
7053,Postgraduate,6,Reading notes,Academic workload pressure,Medium,Online platforms provide access to diverse resources,Laptop
7054,Undergraduate,2,Recorded tutorials,Time management difficulty,Medium,Online platforms provide access to diverse resources,Mobile
7055,Graduate,3,Practice exercises,Lack of concentration,Low,Blended learning is more effective than fully online,Tablet
7056,Graduate,2,Practice exercises,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Laptop
7057,Graduate,1,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
7058,Graduate,5,Practice exercises,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
7059,Postgraduate,3,Reading notes,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Tablet
7060,Postgraduate,1,Reading notes,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
7061,Postgraduate,3,Practice exercises,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Mobile
7062,Graduate,6,Practice exercises,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
7063,Undergraduate,3,Reading notes,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7064,Postgraduate,3,Video lectures,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7065,Graduate,4,Practice exercises,Time management difficulty,High,Online learning requires strong self-discipline,Tablet
7066,Postgraduate,3,Interactive discussion,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
7067,Postgraduate,3,Video lectures,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
7068,Undergraduate,5,Practice exercises,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
7069,Graduate,4,Reading notes,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
7070,Undergraduate,1,Practice exercises,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Laptop
7071,Graduate,6,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Mobile
7072,Postgraduate,3,Reading notes,Difficulty understanding concepts,Medium,Online learning is flexible and convenient,Tablet
7073,Postgraduate,5,Video lectures,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7074,Graduate,6,Recorded tutorials,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Laptop
7075,Postgraduate,5,Video lectures,Lack of concentration,High,Online platforms provide access to diverse resources,Tablet
7076,Postgraduate,4,Reading notes,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
7077,Undergraduate,3,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7078,Postgraduate,3,Practice exercises,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
7079,Undergraduate,1,Interactive discussion,Time management difficulty,High,Blended learning is more effective than fully online,Tablet
7080,Postgraduate,6,Reading notes,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
7081,Undergraduate,3,Recorded tutorials,Lack of concentration,High,Online learning requires strong self-discipline,Mobile
7082,Undergraduate,1,Interactive discussion,Lack of concentration,High,Online learning requires strong self-discipline,Tablet
7083,Postgraduate,5,Practice exercises,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop
7084,Postgraduate,1,Reading notes,Lack of concentration,Low,Online learning is flexible and convenient,Laptop
7085,Undergraduate,5,Recorded tutorials,Low motivation,Low,Online learning is flexible and convenient,Laptop
7086,Postgraduate,2,Interactive discussion,Internet connectivity issues,Medium,Blended learning is more effective than fully online,Laptop
7087,Undergraduate,3,Recorded tutorials,Time management difficulty,Low,Online platforms provide access to diverse resources,Laptop
7088,Postgraduate,2,Interactive discussion,Lack of concentration,High,Online learning is flexible and convenient,Mobile
7089,Postgraduate,6,Reading notes,Low motivation,High,Online learning is effective for theory-based subjects,Tablet
7090,Postgraduate,3,Recorded tutorials,Time management difficulty,Low,Online learning requires strong self-discipline,Mobile
7091,Graduate,2,Interactive discussion,Lack of concentration,High,Online platforms provide access to diverse resources,Laptop
7092,Undergraduate,4,Recorded tutorials,Time management difficulty,Medium,Online learning requires strong self-discipline,Laptop
7093,Undergraduate,2,Practice exercises,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Mobile
7094,Undergraduate,2,Reading notes,Low motivation,High,Online learning is flexible and convenient,Laptop
7095,Undergraduate,1,Interactive discussion,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
7096,Postgraduate,1,Reading notes,Time management difficulty,High,Online learning is effective for theory-based subjects,Laptop
7097,Graduate,2,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
7098,Undergraduate,1,Reading notes,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
7099,Graduate,2,Reading notes,Time management difficulty,Medium,Online learning is effective for theory-based subjects,Mobile
7100,Undergraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
7101,Undergraduate,4,Interactive discussion,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
7102,Postgraduate,4,Video lectures,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
7103,Postgraduate,5,Practice exercises,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
7104,Postgraduate,4,Practice exercises,Low motivation,Medium,Online learning is flexible and convenient,Laptop
7105,Postgraduate,3,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Mobile
7106,Undergraduate,3,Practice exercises,Low motivation,Low,Online learning is effective for theory-based subjects,Laptop
7107,Graduate,3,Recorded tutorials,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
7108,Graduate,1,Video lectures,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
7109,Undergraduate,2,Interactive discussion,Lack of concentration,Medium,Online learning requires strong self-discipline,Tablet
7110,Undergraduate,1,Interactive discussion,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
7111,Undergraduate,1,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
7112,Undergraduate,2,Practice exercises,Time management difficulty,High,Online learning requires strong self-discipline,Mobile
7113,Postgraduate,2,Practice exercises,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
7114,Postgraduate,3,Practice exercises,Internet connectivity issues,High,Online learning requires strong self-discipline,Tablet
7115,Postgraduate,2,Interactive discussion,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
7116,Graduate,4,Interactive discussion,Time management difficulty,Low,Blended learning is more effective than fully online,Laptop
7117,Graduate,1,Video lectures,Low motivation,High,Online learning is flexible and convenient,Tablet
7118,Postgraduate,6,Interactive discussion,Internet connectivity issues,High,Online learning is flexible and convenient,Tablet
7119,Postgraduate,6,Reading notes,Lack of concentration,Medium,Online learning requires strong self-discipline,Mobile
7120,Postgraduate,5,Reading notes,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Tablet
7121,Postgraduate,4,Reading notes,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
7122,Undergraduate,2,Video lectures,Difficulty understanding concepts,Medium,Online platforms provide access to diverse resources,Laptop
7123,Graduate,5,Recorded tutorials,Low motivation,High,Blended learning is more effective than fully online,Mobile
7124,Postgraduate,6,Recorded tutorials,Academic workload pressure,Medium,Online learning is flexible and convenient,Laptop
7125,Undergraduate,3,Recorded tutorials,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
7126,Postgraduate,2,Video lectures,Academic workload pressure,Low,Blended learning is more effective than fully online,Laptop
7127,Undergraduate,5,Recorded tutorials,Academic workload pressure,High,Online learning is effective for theory-based subjects,Laptop
7128,Undergraduate,5,Recorded tutorials,Low motivation,Medium,Online platforms provide access to diverse resources,Laptop
7129,Graduate,6,Interactive discussion,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Laptop
7130,Postgraduate,2,Reading notes,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
7131,Undergraduate,2,Interactive discussion,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
7132,Postgraduate,6,Reading notes,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
7133,Graduate,1,Recorded tutorials,Academic workload pressure,High,Blended learning is more effective than fully online,Tablet
7134,Graduate,2,Interactive discussion,Internet connectivity issues,High,Online learning requires strong self-discipline,Tablet
7135,Postgraduate,4,Practice exercises,Academic workload pressure,High,Online learning is flexible and convenient,Mobile
7136,Postgraduate,1,Recorded tutorials,Lack of concentration,Low,Blended learning is more effective than fully online,Laptop
7137,Graduate,1,Practice exercises,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
7138,Undergraduate,1,Reading notes,Lack of concentration,High,Online platforms provide access to diverse resources,Mobile
7139,Postgraduate,4,Recorded tutorials,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
7140,Graduate,4,Reading notes,Academic workload pressure,Low,Online platforms provide access to diverse resources,Mobile
7141,Graduate,6,Recorded tutorials,Time management difficulty,Low,Online platforms provide access to diverse resources,Laptop
7142,Undergraduate,4,Video lectures,Academic workload pressure,Medium,Blended learning is more effective than fully online,Tablet
7143,Graduate,2,Practice exercises,Time management difficulty,Low,Online platforms provide access to diverse resources,Mobile
7144,Graduate,1,Video lectures,Time management difficulty,High,Online platforms provide access to diverse resources,Laptop
7145,Undergraduate,2,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7146,Postgraduate,2,Recorded tutorials,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
7147,Graduate,6,Interactive discussion,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Tablet
7148,Graduate,4,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Tablet
7149,Graduate,4,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
7150,Graduate,4,Interactive discussion,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
7151,Undergraduate,2,Recorded tutorials,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Mobile
7152,Postgraduate,5,Reading notes,Lack of concentration,High,Online learning requires strong self-discipline,Laptop
7153,Postgraduate,1,Reading notes,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
7154,Postgraduate,5,Video lectures,Low motivation,Low,Blended learning is more effective than fully online,Mobile
7155,Postgraduate,2,Reading notes,Academic workload pressure,Low,Online learning is effective for theory-based subjects,Tablet
7156,Graduate,6,Reading notes,Academic workload pressure,High,Online learning is effective for theory-based subjects,Laptop
7157,Postgraduate,6,Reading notes,Time management difficulty,Low,Online learning requires strong self-discipline,Mobile
7158,Postgraduate,2,Interactive discussion,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7159,Graduate,6,Practice exercises,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
7160,Postgraduate,4,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Mobile
7161,Postgraduate,2,Interactive discussion,Difficulty understanding concepts,Low,Online learning is effective for theory-based subjects,Tablet
7162,Graduate,6,Practice exercises,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7163,Graduate,4,Practice exercises,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Mobile
7164,Undergraduate,2,Reading notes,Time management difficulty,High,Online learning is flexible and convenient,Tablet
7165,Graduate,4,Recorded tutorials,Low motivation,High,Online platforms provide access to diverse resources,Laptop
7166,Graduate,2,Interactive discussion,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7167,Graduate,1,Reading notes,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Tablet
7168,Postgraduate,5,Interactive discussion,Time management difficulty,High,Online learning is effective for theory-based subjects,Tablet
7169,Graduate,1,Reading notes,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
7170,Undergraduate,6,Interactive discussion,Lack of concentration,High,Blended learning is more effective than fully online,Mobile
7171,Graduate,2,Practice exercises,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7172,Graduate,2,Recorded tutorials,Academic workload pressure,Low,Online platforms provide access to diverse resources,Laptop
7173,Graduate,2,Recorded tutorials,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
7174,Undergraduate,5,Reading notes,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Laptop
7175,Undergraduate,3,Reading notes,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
7176,Postgraduate,4,Practice exercises,Internet connectivity issues,Low,Online learning requires strong self-discipline,Mobile
7177,Undergraduate,2,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
7178,Postgraduate,3,Reading notes,Internet connectivity issues,Low,Online learning is flexible and convenient,Tablet
7179,Undergraduate,2,Video lectures,Lack of concentration,High,Online learning is flexible and convenient,Mobile
7180,Postgraduate,2,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Tablet
7181,Graduate,6,Recorded tutorials,Academic workload pressure,High,Online learning requires strong self-discipline,Tablet
7182,Undergraduate,2,Practice exercises,Academic workload pressure,High,Online learning requires strong self-discipline,Laptop
7183,Graduate,3,Interactive discussion,Low motivation,High,Online platforms provide access to diverse resources,Laptop
7184,Graduate,2,Recorded tutorials,Difficulty understanding concepts,High,Blended learning is more effective than fully online,Tablet
7185,Postgraduate,5,Practice exercises,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Mobile
7186,Postgraduate,5,Reading notes,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
7187,Undergraduate,5,Interactive discussion,Internet connectivity issues,High,Online learning requires strong self-discipline,Tablet
7188,Postgraduate,2,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
7189,Undergraduate,2,Recorded tutorials,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Tablet
7190,Graduate,3,Interactive discussion,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Tablet
7191,Undergraduate,6,Interactive discussion,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
7192,Postgraduate,5,Reading notes,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
7193,Postgraduate,4,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
7194,Postgraduate,5,Video lectures,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
7195,Graduate,5,Interactive discussion,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
7196,Postgraduate,2,Video lectures,Low motivation,Low,Online learning is effective for theory-based subjects,Mobile
7197,Graduate,6,Video lectures,Academic workload pressure,High,Blended learning is more effective than fully online,Laptop
7198,Undergraduate,3,Reading notes,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Laptop
7199,Postgraduate,3,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Mobile
7200,Graduate,4,Practice exercises,Academic workload pressure,Low,Online learning requires strong self-discipline,Tablet
7201,Undergraduate,4,Recorded tutorials,Low motivation,High,Online learning is flexible and convenient,Tablet
7202,Graduate,2,Practice exercises,Low motivation,Medium,Online learning is effective for theory-based subjects,Tablet
7203,Undergraduate,5,Recorded tutorials,Internet connectivity issues,High,Online learning is flexible and convenient,Mobile
7204,Graduate,6,Interactive discussion,Difficulty understanding concepts,Low,Online learning is flexible and convenient,Laptop
7205,Undergraduate,2,Practice exercises,Time management difficulty,High,Online platforms provide access to diverse resources,Mobile
7206,Undergraduate,4,Recorded tutorials,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
7207,Postgraduate,5,Recorded tutorials,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Mobile
7208,Undergraduate,2,Reading notes,Lack of concentration,High,Online learning is flexible and convenient,Laptop
7209,Undergraduate,2,Practice exercises,Academic workload pressure,High,Online platforms provide access to diverse resources,Mobile
7210,Graduate,3,Reading notes,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Laptop
7211,Graduate,2,Interactive discussion,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
7212,Postgraduate,5,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Tablet
7213,Postgraduate,2,Interactive discussion,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7214,Graduate,2,Recorded tutorials,Low motivation,Medium,Online learning is effective for theory-based subjects,Mobile
7215,Postgraduate,1,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
7216,Postgraduate,3,Reading notes,Internet connectivity issues,Low,Blended learning is more effective than fully online,Laptop
7217,Undergraduate,1,Recorded tutorials,Low motivation,Medium,Online learning is flexible and convenient,Laptop
7218,Postgraduate,2,Recorded tutorials,Low motivation,High,Online learning is flexible and convenient,Mobile
7219,Undergraduate,4,Practice exercises,Low motivation,Medium,Online learning is flexible and convenient,Mobile
7220,Undergraduate,3,Interactive discussion,Lack of concentration,Low,Online platforms provide access to diverse resources,Laptop
7221,Graduate,6,Practice exercises,Internet connectivity issues,Medium,Online learning requires strong self-discipline,Tablet
7222,Graduate,1,Recorded tutorials,Lack of concentration,Low,Online learning is effective for theory-based subjects,Tablet
7223,Graduate,6,Interactive discussion,Lack of concentration,High,Blended learning is more effective than fully online,Tablet
7224,Undergraduate,1,Recorded tutorials,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
7225,Undergraduate,1,Interactive discussion,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
7226,Undergraduate,5,Reading notes,Low motivation,Medium,Online learning is flexible and convenient,Laptop
7227,Undergraduate,1,Video lectures,Low motivation,Medium,Online learning requires strong self-discipline,Laptop
7228,Graduate,2,Recorded tutorials,Lack of concentration,Low,Online learning is effective for theory-based subjects,Laptop
7229,Undergraduate,5,Video lectures,Internet connectivity issues,Medium,Online learning is effective for theory-based subjects,Laptop
7230,Undergraduate,2,Recorded tutorials,Low motivation,Low,Online learning is flexible and convenient,Tablet
7231,Graduate,2,Reading notes,Lack of concentration,Medium,Online learning is flexible and convenient,Laptop
7232,Postgraduate,5,Reading notes,Low motivation,High,Blended learning is more effective than fully online,Tablet
7233,Postgraduate,5,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Laptop
7234,Undergraduate,3,Interactive discussion,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
7235,Postgraduate,3,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
7236,Graduate,5,Reading notes,Difficulty understanding concepts,High,Online learning is effective for theory-based subjects,Laptop
7237,Postgraduate,3,Reading notes,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
7238,Postgraduate,6,Interactive discussion,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Mobile
7239,Postgraduate,4,Recorded tutorials,Low motivation,Low,Online platforms provide access to diverse resources,Mobile
7240,Postgraduate,3,Video lectures,Lack of concentration,Low,Online learning requires strong self-discipline,Laptop
7241,Graduate,4,Recorded tutorials,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
7242,Graduate,5,Interactive discussion,Low motivation,High,Online learning is flexible and convenient,Tablet
7243,Undergraduate,2,Recorded tutorials,Lack of concentration,Medium,Online platforms provide access to diverse resources,Laptop
7244,Undergraduate,5,Recorded tutorials,Time management difficulty,High,Online learning requires strong self-discipline,Laptop
7245,Postgraduate,4,Video lectures,Lack of concentration,Low,Online learning is flexible and convenient,Tablet
7246,Graduate,6,Reading notes,Lack of concentration,Medium,Online platforms provide access to diverse resources,Tablet
7247,Postgraduate,5,Practice exercises,Academic workload pressure,Low,Online platforms provide access to diverse resources,Tablet
7248,Graduate,3,Reading notes,Academic workload pressure,Low,Online learning requires strong self-discipline,Mobile
7249,Graduate,1,Practice exercises,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
7250,Graduate,1,Video lectures,Academic workload pressure,High,Blended learning is more effective than fully online,Mobile
7251,Graduate,5,Video lectures,Internet connectivity issues,High,Blended learning is more effective than fully online,Tablet
7252,Undergraduate,4,Interactive discussion,Lack of concentration,Medium,Blended learning is more effective than fully online,Tablet
7253,Graduate,4,Reading notes,Internet connectivity issues,Medium,Online platforms provide access to diverse resources,Mobile
7254,Graduate,4,Recorded tutorials,Internet connectivity issues,High,Online learning is flexible and convenient,Laptop
7255,Graduate,4,Reading notes,Low motivation,Low,Online platforms provide access to diverse resources,Tablet
7256,Graduate,2,Video lectures,Low motivation,Low,Online learning is flexible and convenient,Mobile
7257,Postgraduate,6,Recorded tutorials,Academic workload pressure,Medium,Online learning is effective for theory-based subjects,Laptop
7258,Graduate,3,Recorded tutorials,Time management difficulty,High,Online learning is flexible and convenient,Tablet
7259,Undergraduate,5,Video lectures,Time management difficulty,High,Online learning requires strong self-discipline,Tablet
7260,Undergraduate,3,Practice exercises,Academic workload pressure,Low,Blended learning is more effective than fully online,Tablet
7261,Postgraduate,3,Practice exercises,Academic workload pressure,Medium,Online learning requires strong self-discipline,Laptop
7262,Graduate,5,Recorded tutorials,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Laptop
7263,Postgraduate,3,Reading notes,Lack of concentration,Low,Online platforms provide access to diverse resources,Tablet
7264,Undergraduate,5,Practice exercises,Academic workload pressure,High,Online learning is effective for theory-based subjects,Laptop
7265,Graduate,3,Reading notes,Time management difficulty,Medium,Blended learning is more effective than fully online,Mobile
7266,Graduate,4,Video lectures,Lack of concentration,Medium,Online platforms provide access to diverse resources,Mobile
7267,Postgraduate,5,Practice exercises,Time management difficulty,High,Online learning requires strong self-discipline,Tablet
7268,Graduate,1,Video lectures,Time management difficulty,Medium,Blended learning is more effective than fully online,Tablet
7269,Graduate,2,Practice exercises,Low motivation,Medium,Online learning requires strong self-discipline,Laptop
7270,Graduate,3,Reading notes,Difficulty understanding concepts,Low,Online platforms provide access to diverse resources,Tablet
7271,Postgraduate,1,Video lectures,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Tablet
7272,Graduate,1,Interactive discussion,Low motivation,Medium,Online platforms provide access to diverse resources,Tablet
7273,Graduate,4,Recorded tutorials,Lack of concentration,High,Online learning is effective for theory-based subjects,Tablet
7274,Postgraduate,1,Interactive discussion,Time management difficulty,Low,Online learning is flexible and convenient,Laptop
7275,Graduate,4,Practice exercises,Lack of concentration,Low,Blended learning is more effective than fully online,Tablet
7276,Graduate,3,Interactive discussion,Internet connectivity issues,Low,Online learning is effective for theory-based subjects,Tablet
7277,Postgraduate,2,Recorded tutorials,Low motivation,Medium,Online platforms provide access to diverse resources,Laptop
7278,Postgraduate,1,Video lectures,Academic workload pressure,High,Online learning requires strong self-discipline,Mobile
7279,Undergraduate,6,Reading notes,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
7280,Undergraduate,2,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Tablet
7281,Graduate,2,Reading notes,Difficulty understanding concepts,Medium,Online learning is effective for theory-based subjects,Mobile
7282,Postgraduate,3,Interactive discussion,Difficulty understanding concepts,High,Online learning requires strong self-discipline,Tablet
7283,Graduate,6,Reading notes,Difficulty understanding concepts,High,Online learning is flexible and convenient,Mobile
7284,Postgraduate,2,Reading notes,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
7285,Postgraduate,3,Video lectures,Low motivation,High,Blended learning is more effective than fully online,Laptop
7286,Postgraduate,4,Reading notes,Time management difficulty,Medium,Online learning requires strong self-discipline,Mobile
7287,Undergraduate,5,Recorded tutorials,Low motivation,High,Online learning requires strong self-discipline,Mobile
7288,Undergraduate,1,Recorded tutorials,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Mobile
7289,Postgraduate,2,Video lectures,Time management difficulty,High,Online platforms provide access to diverse resources,Tablet
7290,Postgraduate,5,Recorded tutorials,Low motivation,Medium,Blended learning is more effective than fully online,Laptop
7291,Undergraduate,1,Interactive discussion,Difficulty understanding concepts,Medium,Blended learning is more effective than fully online,Laptop
7292,Postgraduate,6,Practice exercises,Internet connectivity issues,Low,Online learning requires strong self-discipline,Laptop
7293,Postgraduate,2,Reading notes,Low motivation,Medium,Blended learning is more effective than fully online,Tablet
7294,Undergraduate,6,Recorded tutorials,Academic workload pressure,Low,Online learning is flexible and convenient,Tablet
7295,Undergraduate,3,Practice exercises,Internet connectivity issues,Low,Online platforms provide access to diverse resources,Mobile
7296,Undergraduate,5,Practice exercises,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Laptop
7297,Undergraduate,2,Interactive discussion,Lack of concentration,Medium,Online learning requires strong self-discipline,Tablet
7298,Graduate,3,Recorded tutorials,Low motivation,Low,Online learning requires strong self-discipline,Mobile
7299,Graduate,5,Practice exercises,Academic workload pressure,Medium,Blended learning is more effective than fully online,Mobile
7300,Graduate,2,Reading notes,Lack of concentration,Medium,Blended learning is more effective than fully online,Laptop
7301,Postgraduate,2,Practice exercises,Difficulty understanding concepts,Low,Online learning requires strong self-discipline,Tablet
7302,Undergraduate,1,Interactive discussion,Time management difficulty,Low,Online learning is flexible and convenient,Mobile
7303,Postgraduate,1,Interactive discussion,Lack of concentration,Low,Online learning is effective for theory-based subjects,Mobile
7304,Graduate,3,Video lectures,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
7305,Graduate,6,Video lectures,Lack of concentration,Medium,Online learning is effective for theory-based subjects,Laptop
7306,Postgraduate,6,Video lectures,Academic workload pressure,Medium,Online learning is flexible and convenient,Tablet
7307,Postgraduate,2,Practice exercises,Difficulty understanding concepts,Low,Blended learning is more effective than fully online,Mobile
7308,Postgraduate,5,Video lectures,Difficulty understanding concepts,High,Online platforms provide access to diverse resources,Mobile
7309,Graduate,6,Video lectures,Lack of concentration,Medium,Online learning is flexible and convenient,Mobile
7310,Graduate,2,Practice exercises,Time management difficulty,Low,Online learning is effective for theory-based subjects,Tablet
7311,Postgraduate,6,Recorded tutorials,Time management difficulty,Low,Online learning requires strong self-discipline,Mobile
7312,Postgraduate,5,Interactive discussion,Internet connectivity issues,High,Online platforms provide access to diverse resources,Mobile
7313,Undergraduate,6,Recorded tutorials,Internet connectivity issues,Low,Blended learning is more effective than fully online,Tablet
7314,Undergraduate,4,Practice exercises,Low motivation,High,Online platforms provide access to diverse resources,Tablet
